scenario,scenario_description,method,iterations,example_count,simulated_trial_count,null_rate,alternative_rate,decision_threshold,posterior_probability_cutoff,type_i_error,power,bias,mse,coverage,mean_interval_width,sam_trigger_rate,mean_historical_mass
exchangeable,Historical and current trials share the same response probability.,weak_only,500,400,200000,0.2,0.35,0.3,0.95,0.00524,0.169175,0.019694891641445257,0.011504966165476265,0.942365,0.3899538555619628,0.0,0.0
exchangeable,Historical and current trials share the same response probability.,rule,500,400,200000,0.2,0.35,0.3,0.95,0.001775,0.15398,0.013939089456616687,0.007176870886619993,0.96719,0.35550505266557303,0.0,0.782
exchangeable,Historical and current trials share the same response probability.,rule_sam,500,400,200000,0.2,0.35,0.3,0.95,0.003565,0.157895,0.014785595953653453,0.007766724781385336,0.964015,0.35532459295619484,0.061025,0.7719014650679152
exchangeable,Historical and current trials share the same response probability.,fixed_discount,500,400,200000,0.2,0.35,0.3,0.95,0.001355,0.1522,0.013191845209051476,0.006840749221888218,0.96932,0.35140615312318907,0.0,0.782
mild_optimistic_conflict,Historical trials are mildly more optimistic than the current trial on the logit scale.,weak_only,500,400,200000,0.2,0.35,0.3,0.95,0.004975,0.16857,0.019433264161405603,0.011481921876966015,0.94294,0.38991598323725213,0.0,0.0
mild_optimistic_conflict,Historical trials are mildly more optimistic than the current trial on the logit scale.,rule,500,400,200000,0.2,0.35,0.3,0.95,0.002055,0.21226,0.02868583980024452,0.008191289655694425,0.960615,0.36062126382790494,0.0,0.782
mild_optimistic_conflict,Historical trials are mildly more optimistic than the current trial on the logit scale.,rule_sam,500,400,200000,0.2,0.35,0.3,0.95,0.003375,0.214195,0.027834596834373056,0.00873809108614338,0.95437,0.3601114749323959,0.106345,0.7628910240682475
mild_optimistic_conflict,Historical trials are mildly more optimistic than the current trial on the logit scale.,fixed_discount,500,400,200000,0.2,0.35,0.3,0.95,0.00176,0.218535,0.02950697272712537,0.007840873395075523,0.962705,0.3570547633514742,0.0,0.782
strong_optimistic_conflict,Historical trials are strongly more optimistic than the current trial on the logit scale.,weak_only,500,400,200000,0.2,0.35,0.3,0.95,0.00503,0.16833,0.019449371390695438,0.011523513485938067,0.94238,0.38973829891426737,0.0,0.0
strong_optimistic_conflict,Historical trials are strongly more optimistic than the current trial on the logit scale.,rule,500,400,200000,0.2,0.35,0.3,0.95,0.0058,0.277635,0.04879571289702148,0.012097158894909164,0.92427,0.38133989010984676,0.0,0.782
strong_optimistic_conflict,Historical trials are strongly more optimistic than the current trial on the logit scale.,rule_sam,500,400,200000,0.2,0.35,0.3,0.95,0.00645,0.26983,0.041202121479211665,0.01264051277834489,0.916505,0.37701371902656794,0.45454,0.6519051210583892
strong_optimistic_conflict,Historical trials are strongly more optimistic than the current trial on the logit scale.,fixed_discount,500,400,200000,0.2,0.35,0.3,0.95,0.00607,0.28848,0.05162909871712952,0.012262390027177732,0.920765,0.3801173059181156,0.0,0.782
mild_pessimistic_conflict,Historical trials are mildly more pessimistic than the current trial on the logit scale.,weak_only,500,400,200000,0.2,0.35,0.3,0.95,0.004985,0.16914,0.01976114672662077,0.011548822385952014,0.942385,0.38987887293628054,0.0,0.0
mild_pessimistic_conflict,Historical trials are mildly more pessimistic than the current trial on the logit scale.,rule,500,400,200000,0.2,0.35,0.3,0.95,0.001655,0.1182,0.0003026136750527831,0.007241570119944246,0.959885,0.35574453227997044,0.0,0.782
mild_pessimistic_conflict,Historical trials are mildly more pessimistic than the current trial on the logit scale.,rule_sam,500,400,200000,0.2,0.35,0.3,0.95,0.00366,0.12601,0.0024412279907607094,0.008171082225765914,0.95424,0.3555042916834058,0.07673,0.7661395045884921
mild_pessimistic_conflict,Historical trials are mildly more pessimistic than the current trial on the logit scale.,fixed_discount,500,400,200000,0.2,0.35,0.3,0.95,0.00141,0.114525,-0.0015408259117774437,0.0069233095907582564,0.961045,0.3519320726804026,0.0,0.782
mixture_historical_conflict,Half of historical trials are exchangeable and half are optimistic-conflicting.,weak_only,500,400,200000,0.2,0.35,0.3,0.95,0.005225,0.168425,0.019661629817867003,0.011575482153378874,0.94202,0.38988537568065185,0.0,0.0
mixture_historical_conflict,Half of historical trials are exchangeable and half are optimistic-conflicting.,rule,500,400,200000,0.2,0.35,0.3,0.95,0.00248,0.183855,0.024222688849744597,0.008572038437924959,0.95814,0.36603548652575735,0.0,0.782
mixture_historical_conflict,Half of historical trials are exchangeable and half are optimistic-conflicting.,rule_sam,500,400,200000,0.2,0.35,0.3,0.95,0.004035,0.18673,0.02387349316906411,0.00905527217672418,0.95442,0.36536165981514235,0.13384,0.7600326410743103
mixture_historical_conflict,Half of historical trials are exchangeable and half are optimistic-conflicting.,fixed_discount,500,400,200000,0.2,0.35,0.3,0.95,0.00237,0.184835,0.02461598997912301,0.008384083614527877,0.95781,0.3644549646483813,0.0,0.782
heterogeneous_historical,Historical trials alternate around the current rate to mimic between-trial heterogeneity.,weak_only,500,400,200000,0.2,0.35,0.3,0.95,0.005665,0.16829,0.019297527392778627,0.011489717571252297,0.94324,0.3897542600886808,0.0,0.0
heterogeneous_historical,Historical trials alternate around the current rate to mimic between-trial heterogeneity.,rule,500,400,200000,0.2,0.35,0.3,0.95,0.00185,0.145955,0.008347940228173888,0.007821175794941918,0.95567,0.3623284978792326,0.0,0.782
heterogeneous_historical,Historical trials alternate around the current rate to mimic between-trial heterogeneity.,rule_sam,500,400,200000,0.2,0.35,0.3,0.95,0.003795,0.150305,0.009835598058429656,0.008469034624964551,0.95292,0.3620541033930041,0.07515,0.7678349627881843
heterogeneous_historical,Historical trials alternate around the current rate to mimic between-trial heterogeneity.,fixed_discount,500,400,200000,0.2,0.35,0.3,0.95,0.00156,0.143755,0.00763947908996619,0.007491730749262372,0.95704,0.3596032186098067,0.0,0.782
